report_date,new_positive,issue_date
2020-06-22,5019,2022-03-18
2020-06-21,4230,2022-03-18
2020-06-20,4515,2022-03-18
2020-06-19,3893,2022-03-18
2020-06-18,4317,2022-03-18
2020-06-17,4084,2022-03-18
2020-06-16,3455,2022-03-18
2020-06-15,2108,2022-03-18
2020-06-14,2597,2022-03-18
2020-06-13,3212,2022-03-18
2020-06-12,3660,2022-03-18
2020-06-11,2702,2022-03-18
2020-06-10,3090,2022-03-18
2020-06-09,2702,2022-03-18
2020-06-08,2170,2022-03-18
2020-06-07,2507,2022-03-18
2020-06-06,2796,2022-03-18
2020-06-05,3115,2022-03-18
2020-06-04,3094,2022-03-18
2020-06-03,2120,2022-03-18
2020-06-02,2377,2022-03-18
2020-06-01,2304,2022-03-18
2020-05-31,2423,2022-03-18
2020-05-30,3705,2022-03-18
2020-05-29,2992,2022-03-18
2020-05-28,2189,2022-03-18
2020-05-27,2717,2022-03-18
2020-05-26,2247,2022-03-18
2020-05-25,2175,2022-03-18
2020-05-24,1848,2022-03-18
2020-05-23,2079,2022-03-18
2020-05-22,2187,2022-03-18
2020-05-21,2247,2022-03-18
2020-05-20,2140,2022-03-18
2020-05-19,2262,2022-03-18
2020-05-18,1365,2022-03-18
2020-05-17,1591,2022-03-18
2020-05-16,2046,2022-03-18
2020-05-15,1857,2022-03-18
2020-05-14,1772,2022-03-18
2020-05-13,7183,2022-03-18
2020-05-12,-3401,2022-03-18
2020-05-11,1443,2022-03-18
2020-05-10,1259,2022-03-18
2020-05-09,2119,2022-03-18
2020-05-08,2049,2022-03-18
2020-05-07,1898,2022-03-18
2020-05-06,1799,2022-03-18
2020-05-05,2603,2022-03-18
2020-05-04,1275,2022-03-18
2020-05-03,1321,2022-03-18
2020-05-02,1419,2022-03-18
2020-05-01,1755,2022-03-18
2020-04-30,1525,2022-03-18
2020-04-29,2417,2022-03-18
2020-04-28,1469,2022-03-18
2020-04-27,1567,2022-03-18
2020-04-26,1300,2022-03-18
2020-04-25,1027,2022-03-18
2020-04-24,1883,2022-03-18
2020-04-23,1885,2022-03-18
2020-04-22,1973,2022-03-18
2020-04-21,2135,2022-03-18
2020-04-20,2283,2022-03-18
2020-04-19,645,2022-03-18
2020-04-18,1370,2022-03-18
2020-04-17,1435,2022-03-18
2020-04-16,1346,2022-03-18
2020-04-15,1758,2022-03-18
2020-04-14,1171,2022-03-18
2020-04-13,905,2022-03-18
2020-04-12,554,2022-03-18
2020-04-11,1179,2022-03-18
2020-04-10,1143,2022-03-18
2020-04-09,1163,2022-03-18
2020-04-08,1352,2022-03-18
2020-04-07,1092,2022-03-18
2020-04-06,1529,2022-03-18
2020-04-05,898,2022-03-18
2020-04-04,1412,2022-03-18
2020-04-03,1325,2022-03-18
2020-04-02,1510,2022-03-18
2020-04-01,1036,2022-03-18
2020-03-31,1223,2022-03-18
2020-03-30,1169,2022-03-18
2020-03-29,-4803,2022-03-18
2020-03-28,5923,2022-03-18
2020-03-27,842,2022-03-18
2020-03-26,795,2022-03-18
2020-03-25,471,2022-03-18
2020-03-24,580,2022-03-18
2020-03-23,222,2022-03-18
2020-03-22,265,2022-03-18
2020-03-21,244,2022-03-18
2020-03-20,218,2022-03-18
2020-03-19,331,2022-03-18
2020-03-18,165,2022-03-18
2020-03-17,38,2022-03-18
2020-03-16,80,2022-03-18
2020-03-15,57,2022-03-18
2020-03-14,47,2022-03-18
2020-03-13,41,2022-03-18
2020-03-12,49,2022-03-18
2020-03-11,21,2022-03-18
2020-03-10,20,2022-03-18
2020-03-09,24,2022-03-18
2020-03-08,19,2022-03-18
2020-03-07,26,2022-03-18
2020-03-06,19,2022-03-18
2020-03-05,9,2022-03-18
2020-03-04,7,2022-03-18
2020-03-03,10,2022-03-18
2020-03-02,4,2022-03-18
2020-03-01,5,2022-03-18
